START
5227	441	45.57	3	0.0	9	92.0	1	0.2	0
5227	566	45.57	7	84.4	4	89.1	1	0.2	0
5227	589	45.57	2	92.2	9	89.5	1	0.2	0
5227	949	45.57	7	0.0	3	67.9	0	0.0	0
5227	1247	45.57	3	78.5	6	90.3	1	0.3	0
5227	1272	45.57	2	83.8	8	93.5	1	0.9	0
5227	1297	45.57	5	0.0	4	75.3	1	0.8	0
5227	1302	45.57	0	0.0	4	84.1	1	0.8	0
5227	1319	45.57	2	71.0	6	91.6	2	1.8	0
5227	1575	45.57	6	0.0	6	95.3	1	1.4	0
5227	1672	45.57	2	71.6	3	92.2	0	0.0	0
5227	1687	45.57	2	71.3	5	94.2	2	0.7	0
5227	1862	45.57	2	74.4	5	88.5	1	0.3	0
5227	1879	45.57	14	0.0	4	83.8	1	0.3	0
5227	1886	45.57	2	83.2	3	91.2	1	0.3	0
5227	1976	45.57	6	47.9	4	90.3	1	0.3	0
5227	2197	45.57	5	65.1	6	92.5	0	0.0	0
5227	2224	45.57	2	82.5	7	90.3	1	0.3	0
5227	2273	45.57	4	0.0	4	91.1	2	2.2	0
5227	2416	45.57	2	0.0	4	90.1	2	6.1	0
5227	2433	45.57	2	0.0	4	97.3	1	0.3	0
5227	2564	45.57	6	2.0	8	90.8	2	0.7	0
5227	2571	45.57	2	59.9	5	92.3	8	0.3	0
5227	2617	45.57	2	78.9	5	91.0	1	0.3	0
5227	2767	45.57	5	0.0	3	86.4	2	0.3	0
5227	2775	45.57	7	0.0	8	63.1	2	2.6	0
5227	2819	45.57	2	90.2	6	91.2	1	0.3	0
5227	2910	45.57	3	47.9	8	95.1	0	0.0	0
5227	2938	45.57	2	85.8	12	83.1	3	0.9	0
5227	2998	45.57	4	0.0	6	120.2	6	12.7	0
5227	3073	45.57	2	87.0	3	90.7	3	1.3	0
5227	3148	45.57	8	52.4	7	90.4	1	0.3	0
5227	3191	45.57	2	82.4	9	63.7	2	0.0	0
5227	3215	45.57	2	90.4	6	94.0	0	0.0	0
5227	3355	45.57	2	66.5	5	91.0	0	0.0	0
5227	3428	45.57	4	0.0	9	86.1	0	0.0	0
5227	3578	45.57	5	0.0	8	101.1	3	0.0	0
5227	3646	45.57	3	575.6	6	91.9	1	0.0	0
5227	3712	45.57	2	36.5	6	91.8	0	0.0	0
5227	3879	45.57	3	0.0	7	101.1	0	0.0	0
5227	3935	45.57	4	42.7	5	92.6	0	0.0	0
5227	4002	45.57	3	84.0	3	92.6	0	0.0	0
5227	4068	45.57	4	57.4	6	92.4	5	0.0	0
5227	4628	45.57	8	0.0	7	70.8	0	0.0	0
5227	4659	45.57	3	69.7	5	90.6	0	0.0	0
5227	4660	45.57	5	10.8	9	58.4	0	0.0	0
5227	4744	45.57	13	0.0	3	76.8	0	0.0	0
5227	4792	45.57	2	90.5	3	93.1	1	0.0	0
5227	4816	45.57	2	0.0	8	74.7	0	0.0	0
5227	4817	45.57	3	90.3	8	91.7	0	0.0	0
